State,Category,Subcategory,Estimated Population,State Population
Vermont,Ancestry,Danish,2835,623657
Virginia,Ancestry,Danish,19298,8470020
Washington,Ancestry,Danish,65389,7405743
West Virginia,Ancestry,Danish,1570,1815857
Wisconsin,Ancestry,Danish,58894,5795483
Wyoming,Ancestry,Danish,8655,579315
Alabama,Ancestry,Dutch,32576,4874747
Alaska,Ancestry,Dutch,11684,739795
Arizona,Ancestry,Dutch,86858,7016270
Arkansas,Ancestry,Dutch,33049,3004279
California,Ancestry,Dutch,322235,39536653
Colorado,Ancestry,Dutch,88350,5607154
Connecticut,Ancestry,Dutch,24236,3588184
Delaware,Ancestry,Dutch,8829,961939
District of Columbia,Ancestry,Dutch,4108,693972
Florida,Ancestry,Dutch,188199,20984400
Georgia,Ancestry,Dutch,67033,10429379
Hawaii,Ancestry,Dutch,7507,1427538
Idaho,Ancestry,Dutch,31285,1716943
Illinois,Ancestry,Dutch,150300,12802023
Indiana,Ancestry,Dutch,117362,6666818
Iowa,Ancestry,Dutch,130073,3145711
Kansas,Ancestry,Dutch,46284,2913123
Kentucky,Ancestry,Dutch,42221,4454189
Louisiana,Ancestry,Dutch,16858,4684333
Maine,Ancestry,Dutch,12894,1335907
Maryland,Ancestry,Dutch,42429,6052177
Massachusetts,Ancestry,Dutch,36616,6859819
Michigan,Ancestry,Dutch,450924,9962311
Minnesota,Ancestry,Dutch,100100,5576606
Mississippi,Ancestry,Dutch,14215,2984100
Missouri,Ancestry,Dutch,80320,6113532
Montana,Ancestry,Dutch,18885,1050493
Nebraska,Ancestry,Dutch,39188,1920076
Nevada,Ancestry,Dutch,28166,2998039
New Hampshire,Ancestry,Dutch,16479,1342795
New Jersey,Ancestry,Dutch,85564,9005644
New Mexico,Ancestry,Dutch,12920,2088070
New York,Ancestry,Dutch,216460,19849399
North Carolina,Ancestry,Dutch,88616,10273419
North Dakota,Ancestry,Dutch,7608,755393
Ohio,Ancestry,Dutch,149596,11658609
Oklahoma,Ancestry,Dutch,49378,3930864
Oregon,Ancestry,Dutch,82219,4142776
Pennsylvania,Ancestry,Dutch,173453,12805537
Rhode Island,Ancestry,Dutch,4726,1059639
South Carolina,Ancestry,Dutch,39558,5024369
South Dakota,Ancestry,Dutch,38034,869666
Tennessee,Ancestry,Dutch,68056,6715984
Texas,Ancestry,Dutch,192151,28304596
Utah,Ancestry,Dutch,62684,3101833
Vermont,Ancestry,Dutch,7236,623657
Virginia,Ancestry,Dutch,73459,8470020
Washington,Ancestry,Dutch,137049,7405743
West Virginia,Ancestry,Dutch,25154,1815857
Wisconsin,Ancestry,Dutch,134320,5795483
Wyoming,Ancestry,Dutch,8689,579315
Alabama,Ancestry,English,316675,4874747
Alaska,Ancestry,English,57276,739795
Arizona,Ancestry,English,562661,7016270
Arkansas,Ancestry,English,214361,3004279
California,Ancestry,English,1996811,39536653
Colorado,Ancestry,English,557336,5607154
Connecticut,Ancestry,English,293798,3588184
Delaware,Ancestry,English,80062,961939
District of Columbia,Ancestry,English,33524,693972
Florida,Ancestry,English,1370800,20984400
Georgia,Ancestry,English,714111,10429379
Hawaii,Ancestry,English,48447,1427538
Idaho,Ancestry,English,293620,1716943
Illinois,Ancestry,English,674579,12802023
Indiana,Ancestry,English,505855,6666818
Iowa,Ancestry,English,226581,3145711
Kansas,Ancestry,English,271805,2913123
Kentucky,Ancestry,English,439633,4454189
Louisiana,Ancestry,English,235694,4684333
Maine,Ancestry,English,248597,1335907
Maryland,Ancestry,English,414368,6052177
Massachusetts,Ancestry,English,626957,6859819
Michigan,Ancestry,English,853705,9962311
Minnesota,Ancestry,English,288116,5576606
Mississippi,Ancestry,English,194328,2984100
Missouri,Ancestry,English,501540,6113532
Montana,Ancestry,English,117291,1050493
Nebraska,Ancestry,English,141892,1920076
Nevada,Ancestry,English,207463,2998039
New Hampshire,Ancestry,English,228220,1342795
New Jersey,Ancestry,English,411936,9005644
New Mexico,Ancestry,English,121934,2088070
New York,Ancestry,English,929741,19849399
North Carolina,Ancestry,English,891890,10273419
North Dakota,Ancestry,English,29098,755393
Ohio,Ancestry,English,897957,11658609
Oklahoma,Ancestry,English,267555,3930864
Oregon,Ancestry,English,440663,4142776
Pennsylvania,Ancestry,English,860718,12805537
Rhode Island,Ancestry,English,109187,1059639
South Carolina,Ancestry,English,408824,5024369
South Dakota,Ancestry,English,49653,869666
Tennessee,Ancestry,English,542167,6715984
Texas,Ancestry,English,1564791,28304596
Utah,Ancestry,English,698690,3101833
Vermont,Ancestry,English,101194,623657
Virginia,Ancestry,English,751360,8470020
Washington,Ancestry,English,717602,7405743
West Virginia,Ancestry,English,165649,1815857
Wisconsin,Ancestry,English,323410,5795483
Wyoming,Ancestry,English,74822,579315
Alabama,Ancestry,French (except Basque),66671,4874747
Alaska,Ancestry,French (except Basque),19640,739795
Arizona,Ancestry,French (except Basque),150029,7016270
Arkansas,Ancestry,French (except Basque),47599,3004279
California,Ancestry,French (except Basque),628533,39536653
Colorado,Ancestry,French (except Basque),148202,5607154
Connecticut,Ancestry,French (except Basque),168620,3588184
Delaware,Ancestry,French (except Basque),13457,961939
District of Columbia,Ancestry,French (except Basque),11284,693972
Florida,Ancestry,French (except Basque),442420,20984400
Georgia,Ancestry,French (except Basque),145085,10429379
Hawaii,Ancestry,French (except Basque),18131,1427538
Idaho,Ancestry,French (except Basque),39578,1716943
Illinois,Ancestry,French (except Basque),225318,12802023
Indiana,Ancestry,French (except Basque),142329,6666818
Iowa,Ancestry,French (except Basque),65174,3145711
Kansas,Ancestry,French (except Basque),69731,2913123
Kentucky,Ancestry,French (except Basque),71697,4454189
Louisiana,Ancestry,French (except Basque),571021,4684333
Maine,Ancestry,French (except Basque),180080,1335907
Maryland,Ancestry,French (except Basque),91153,6052177
Massachusetts,Ancestry,French (except Basque),394425,6859819
Michigan,Ancestry,French (except Basque),378279,9962311
Minnesota,Ancestry,French (except Basque),179354,5576606
Mississippi,Ancestry,French (except Basque),57231,2984100
Missouri,Ancestry,French (except Basque),169894,6113532
Montana,Ancestry,French (except Basque),34992,1050493
Nebraska,Ancestry,French (except Basque),37229,1920076
Nevada,Ancestry,French (except Basque),56546,2998039
New Hampshire,Ancestry,French (except Basque),172092,1342795
New Jersey,Ancestry,French (except Basque),96983,9005644
New Mexico,Ancestry,French (except Basque),27587,2088070
New York,Ancestry,French (except Basque),381145,19849399
North Carolina,Ancestry,French (except Basque),158633,10273419
North Dakota,Ancestry,French (except Basque),29417,755393
Ohio,Ancestry,French (except Basque),233889,11658609
Oklahoma,Ancestry,French (except Basque),72743,3930864
Oregon,Ancestry,French (except Basque),122577,4142776
Pennsylvania,Ancestry,French (except Basque),196083,12805537
Rhode Island,Ancestry,French (except Basque),93688,1059639
South Carolina,Ancestry,French (except Basque),89930,5024369
South Dakota,Ancestry,French (except Basque),20880,869666
Tennessee,Ancestry,French (except Basque),105112,6715984
Texas,Ancestry,French (except Basque),522405,28304596
Utah,Ancestry,French (except Basque),59246,3101833
Vermont,Ancestry,French (except Basque),77753,623657
Virginia,Ancestry,French (except Basque),147717,8470020
Washington,Ancestry,French (except Basque),226725,7405743
West Virginia,Ancestry,French (except Basque),23361,1815857
Wisconsin,Ancestry,French (except Basque),175337,5795483
Wyoming,Ancestry,French (except Basque),16614,579315
Alabama,Ancestry,French Canadian,8140,4874747
Alaska,Ancestry,French Canadian,5178,739795
Arizona,Ancestry,French Canadian,29956,7016270
Arkansas,Ancestry,French Canadian,6532,3004279
California,Ancestry,French Canadian,106385,39536653
Colorado,Ancestry,French Canadian,26477,5607154
Connecticut,Ancestry,French Canadian,95571,3588184
Delaware,Ancestry,French Canadian,3566,961939
District of Columbia,Ancestry,French Canadian,2580,693972
Florida,Ancestry,French Canadian,119396,20984400
Georgia,Ancestry,French Canadian,22336,10429379
Hawaii,Ancestry,French Canadian,2553,1427538
Idaho,Ancestry,French Canadian,9702,1716943
Illinois,Ancestry,French Canadian,35496,12802023
Indiana,Ancestry,French Canadian,14506,6666818
Iowa,Ancestry,French Canadian,9990,3145711
Kansas,Ancestry,French Canadian,10806,2913123
Kentucky,Ancestry,French Canadian,7497,4454189
Louisiana,Ancestry,French Canadian,145299,4684333
Maine,Ancestry,French Canadian,104440,1335907
Maryland,Ancestry,French Canadian,18099,6052177
Massachusetts,Ancestry,French Canadian,264809,6859819
Michigan,Ancestry,French Canadian,156482,9962311
Minnesota,Ancestry,French Canadian,56025,5576606
Mississippi,Ancestry,French Canadian,8851,2984100
Missouri,Ancestry,French Canadian,13639,6113532
Montana,Ancestry,French Canadian,8344,1050493
Nebraska,Ancestry,French Canadian,6243,1920076
Nevada,Ancestry,French Canadian,10988,2998039
New Hampshire,Ancestry,French Canadian,124688,1342795
New Jersey,Ancestry,French Canadian,24656,9005644
New Mexico,Ancestry,French Canadian,6033,2088070
New York,Ancestry,French Canadian,118578,19849399
North Carolina,Ancestry,French Canadian,38163,10273419
North Dakota,Ancestry,French Canadian,6101,755393
Ohio,Ancestry,French Canadian,28381,11658609
Oklahoma,Ancestry,French Canadian,6908,3930864
Oregon,Ancestry,French Canadian,27064,4142776
Pennsylvania,Ancestry,French Canadian,33938,12805537
Rhode Island,Ancestry,French Canadian,57416,1059639
South Carolina,Ancestry,French Canadian,18060,5024369
South Dakota,Ancestry,French Canadian,4036,869666
Tennessee,Ancestry,French Canadian,18534,6715984
Texas,Ancestry,French Canadian,78421,28304596
Utah,Ancestry,French Canadian,8851,3101833
Vermont,Ancestry,French Canadian,46981,623657
Virginia,Ancestry,French Canadian,34959,8470020
Washington,Ancestry,French Canadian,57287,7405743
West Virginia,Ancestry,French Canadian,2932,1815857
Wisconsin,Ancestry,French Canadian,54973,5795483
Wyoming,Ancestry,French Canadian,3168,579315
Alabama,Ancestry,German,309139,4874747
Alaska,Ancestry,German,113235,739795
Arizona,Ancestry,German,890046,7016270
Arkansas,Ancestry,German,287556,3004279
California,Ancestry,German,2821646,39536653
Colorado,Ancestry,German,1048207,5607154
Connecticut,Ancestry,German,324708,3588184
Delaware,Ancestry,German,108619,961939
District of Columbia,Ancestry,German,46773,693972
Florida,Ancestry,German,1918837,20984400
Georgia,Ancestry,German,674880,10429379
Hawaii,Ancestry,German,82937,1427538
Idaho,Ancestry,German,280020,1716943
Illinois,Ancestry,German,2243998,12802023
Indiana,Ancestry,German,1382882,6666818
Iowa,Ancestry,German,1021200,3145711
Kansas,Ancestry,German,716100,2913123
Kentucky,Ancestry,German,589682,4454189
Louisiana,Ancestry,German,312186,4684333
Maine,Ancestry,German,109156,1335907
Maryland,Ancestry,German,757507,6052177
Massachusetts,Ancestry,German,393923,6859819
Michigan,Ancestry,German,1872977,9962311
Minnesota,Ancestry,German,1788864,5576606
Mississippi,Ancestry,German,135412,2984100
Missouri,Ancestry,German,1376052,6113532
Montana,Ancestry,German,257943,1050493
Nebraska,Ancestry,German,639797,1920076
Nevada,Ancestry,German,306998,2998039
New Hampshire,Ancestry,German,121796,1342795
