"","YEAR","MONTH","DAY_OF_MONTH","Region","NumFlights","NumCancels","NumWeatherCancels","NumCarrierCancels","NumNatAirSys","NumSecurity"
"254",2017,3,5,"Mid",2532,3,0,3,0,0
"255",2017,3,5,"South",5057,2,0,2,0,0
"256",2017,3,5,"West",4946,28,21,6,1,0
"257",2017,3,6,"East",2527,6,2,2,2,0
"258",2017,3,6,"Mid",2760,45,31,2,12,0
"259",2017,3,6,"South",5355,25,8,7,10,0
"260",2017,3,6,"West",5188,184,93,10,81,0
"261",2017,3,7,"East",2462,14,0,11,3,0
"262",2017,3,7,"Mid",2719,27,17,3,7,0
"263",2017,3,7,"South",5209,20,2,9,9,0
"264",2017,3,7,"West",4993,87,24,8,55,0
"265",2017,3,8,"East",2475,7,3,2,2,0
"266",2017,3,8,"Mid",2737,23,19,2,2,0
"267",2017,3,8,"South",5295,6,0,6,0,0
"268",2017,3,8,"West",5084,29,6,4,19,0
"269",2017,3,9,"East",2613,12,1,6,5,0
"270",2017,3,9,"Mid",2854,8,0,2,6,0
"271",2017,3,9,"South",5508,6,0,2,4,0
"272",2017,3,9,"West",5284,19,4,15,0,0
"273",2017,3,10,"East",2634,109,33,35,41,0
"274",2017,3,10,"Mid",2858,25,1,14,10,0
"275",2017,3,10,"South",5540,31,10,11,10,0
"276",2017,3,10,"West",5347,17,2,10,5,0
"277",2017,3,11,"East",2048,8,4,4,0,0
"278",2017,3,11,"Mid",2259,1,0,1,0,0
"279",2017,3,11,"South",4770,9,1,8,0,0
"280",2017,3,11,"West",4593,14,2,12,0,0
"281",2017,3,12,"East",2425,9,2,7,0,0
"282",2017,3,12,"Mid",2706,26,18,8,0,0
"283",2017,3,12,"South",5415,32,16,16,0,0
"284",2017,3,12,"West",5190,33,21,12,0,0
"285",2017,3,13,"East",2629,157,142,7,8,0
"286",2017,3,13,"Mid",2863,411,344,13,54,0
"287",2017,3,13,"South",5534,322,290,22,10,0
"288",2017,3,13,"West",5302,274,245,12,17,0
"289",2017,3,14,"East",2567,2153,2107,7,39,0
"290",2017,3,14,"Mid",2820,625,583,9,33,0
"291",2017,3,14,"South",5359,890,873,7,10,0
"292",2017,3,14,"West",5125,299,247,22,30,0
"293",2017,3,15,"East",2579,526,475,8,43,0
"294",2017,3,15,"Mid",2849,77,50,11,16,0
"295",2017,3,15,"South",5452,97,82,11,4,0
"296",2017,3,15,"West",5229,33,13,20,0,0
"297",2017,3,16,"East",2638,12,4,4,4,0
"298",2017,3,16,"Mid",2872,4,0,4,0,0
"299",2017,3,16,"South",5539,11,0,10,1,0
"300",2017,3,16,"West",5359,24,4,14,6,0
"301",2017,3,17,"East",2635,4,0,1,3,0
"302",2017,3,17,"Mid",2874,10,6,4,0,0
"303",2017,3,17,"South",5543,5,1,4,0,0
"304",2017,3,17,"West",5374,13,3,10,0,0
"305",2017,3,18,"East",2079,18,0,11,7,0
"306",2017,3,18,"Mid",2268,11,2,9,0,0
"307",2017,3,18,"South",4784,22,1,21,0,0
"308",2017,3,18,"West",4646,10,2,8,0,0
"309",2017,3,19,"East",2431,12,0,11,1,0
"310",2017,3,19,"Mid",2717,14,0,14,0,0
"311",2017,3,19,"South",5424,47,0,47,0,0
"312",2017,3,19,"West",5208,9,0,9,0,0
"313",2017,3,20,"East",2635,6,0,6,0,0
"314",2017,3,20,"Mid",2867,3,0,3,0,0
"315",2017,3,20,"South",5534,24,0,24,0,0
"316",2017,3,20,"West",5304,101,68,6,27,0
"317",2017,3,21,"East",2576,2,1,1,0,0
"318",2017,3,21,"Mid",2827,5,4,1,0,0
"319",2017,3,21,"South",5359,7,2,5,0,0
"320",2017,3,21,"West",5124,19,3,11,5,0
"321",2017,3,22,"East",2591,22,2,1,19,0
"322",2017,3,22,"Mid",2848,7,0,3,4,0
"323",2017,3,22,"South",5448,12,0,3,9,0
"324",2017,3,22,"West",5234,19,1,10,8,0
"325",2017,3,23,"East",2643,5,0,2,3,0
"326",2017,3,23,"Mid",2873,7,5,2,0,0
"327",2017,3,23,"South",5536,2,0,2,0,0
"328",2017,3,23,"West",5364,15,5,6,4,0
"329",2017,3,24,"East",2640,1,0,1,0,0
"330",2017,3,24,"Mid",2878,17,14,1,2,0
"331",2017,3,24,"South",5537,24,7,9,8,0
"332",2017,3,24,"West",5374,122,92,8,22,0
"333",2017,3,25,"East",2087,5,0,5,0,0
"334",2017,3,25,"Mid",2267,1,1,0,0,0
"335",2017,3,25,"South",4785,6,1,5,0,0
"336",2017,3,25,"West",4643,2,0,1,1,0
"337",2017,3,26,"East",2432,12,1,5,6,0
"338",2017,3,26,"Mid",2710,5,1,1,3,0
"339",2017,3,26,"South",5363,10,1,8,1,0
"340",2017,3,26,"West",5196,0,0,0,0,0
